"yearID","teamID","name","G","R","RA","W","L","WinPct"
2012,"MIN","Minnesota Twins",162,701,832,66,96,0.407407407407407
2012,"NYA","New York Yankees",162,804,668,95,67,0.58641975308642
2012,"NYN","New York Mets",162,650,709,74,88,0.45679012345679
2012,"OAK","Oakland Athletics",162,713,614,94,68,0.580246913580247
2012,"PHI","Philadelphia Phillies",162,684,680,81,81,0.5
2012,"PIT","Pittsburgh Pirates",162,651,674,79,83,0.487654320987654
2012,"SDN","San Diego Padres",162,651,710,76,86,0.469135802469136
2012,"SEA","Seattle Mariners",162,619,651,75,87,0.462962962962963
2012,"SFN","San Francisco Giants",162,718,649,94,68,0.580246913580247
2012,"SLN","St. Louis Cardinals",162,765,648,88,74,0.54320987654321
2012,"TBA","Tampa Bay Rays",162,697,577,90,72,0.555555555555556
2012,"TEX","Texas Rangers",162,808,707,93,69,0.574074074074074
2012,"TOR","Toronto Blue Jays",162,716,784,73,89,0.450617283950617
2012,"WAS","Washington Nationals",162,731,594,98,64,0.604938271604938
2013,"ARI","Arizona Diamondbacks",162,685,695,81,81,0.5
2013,"ATL","Atlanta Braves",162,688,548,96,66,0.592592592592593
2013,"BAL","Baltimore Orioles",162,745,709,85,77,0.524691358024691
2013,"BOS","Boston Red Sox",162,853,656,97,65,0.598765432098765
2013,"CHA","Chicago White Sox",162,598,723,63,99,0.388888888888889
2013,"CHN","Chicago Cubs",162,602,689,66,96,0.407407407407407
2013,"CIN","Cincinnati Reds",162,698,589,90,72,0.555555555555556
2013,"CLE","Cleveland Indians",162,745,662,92,70,0.567901234567901
2013,"COL","Colorado Rockies",162,706,760,74,88,0.45679012345679
2013,"DET","Detroit Tigers",162,796,624,93,69,0.574074074074074
2013,"HOU","Houston Astros",162,610,848,51,111,0.314814814814815
2013,"KCA","Kansas City Royals",162,648,601,86,76,0.530864197530864
2013,"LAA","Los Angeles Angels of Anaheim",162,733,737,78,84,0.481481481481481
2013,"LAN","Los Angeles Dodgers",162,649,582,92,70,0.567901234567901
2013,"MIA","Miami Marlins",162,513,646,62,100,0.382716049382716
2013,"MIL","Milwaukee Brewers",162,640,687,74,88,0.45679012345679
2013,"MIN","Minnesota Twins",162,614,788,66,96,0.407407407407407
2013,"NYA","New York Yankees",162,650,671,85,77,0.524691358024691
2013,"NYN","New York Mets",162,619,684,74,88,0.45679012345679
2013,"OAK","Oakland Athletics",162,767,625,96,66,0.592592592592593
2013,"PHI","Philadelphia Phillies",162,610,749,73,89,0.450617283950617
2013,"PIT","Pittsburgh Pirates",162,634,577,94,68,0.580246913580247
2013,"SDN","San Diego Padres",162,618,700,76,86,0.469135802469136
2013,"SEA","Seattle Mariners",162,624,754,71,91,0.438271604938272
2013,"SFN","San Francisco Giants",162,629,691,76,86,0.469135802469136
2013,"SLN","St. Louis Cardinals",162,783,596,97,65,0.598765432098765
2013,"TBA","Tampa Bay Rays",163,700,646,92,71,0.56441717791411
2013,"TEX","Texas Rangers",163,730,636,91,72,0.558282208588957
2013,"TOR","Toronto Blue Jays",162,712,756,74,88,0.45679012345679
2013,"WAS","Washington Nationals",162,656,626,86,76,0.530864197530864
2014,"ARI","Arizona Diamondbacks",162,615,742,64,98,0.395061728395062
2014,"ATL","Atlanta Braves",162,573,597,79,83,0.487654320987654
2014,"BAL","Baltimore Orioles",162,705,593,96,66,0.592592592592593
2014,"BOS","Boston Red Sox",162,634,715,71,91,0.438271604938272
2014,"CHA","Chicago White Sox",162,660,758,73,89,0.450617283950617
2014,"CHN","Chicago Cubs",162,614,707,73,89,0.450617283950617
2014,"CIN","Cincinnati Reds",162,595,612,76,86,0.469135802469136
2014,"CLE","Cleveland Indians",162,669,653,85,77,0.524691358024691
2014,"COL","Colorado Rockies",162,755,818,66,96,0.407407407407407
2014,"DET","Detroit Tigers",162,757,705,90,72,0.555555555555556
2014,"HOU","Houston Astros",162,629,723,70,92,0.432098765432099
2014,"KCA","Kansas City Royals",162,651,624,89,73,0.549382716049383
2014,"LAA","Los Angeles Angels of Anaheim",162,773,630,98,64,0.604938271604938
2014,"LAN","Los Angeles Dodgers",162,718,617,94,68,0.580246913580247
2014,"MIA","Miami Marlins",162,645,674,77,85,0.475308641975309
2014,"MIL","Milwaukee Brewers",162,650,657,82,80,0.506172839506173
2014,"MIN","Minnesota Twins",162,715,777,70,92,0.432098765432099
2014,"NYA","New York Yankees",162,633,664,84,78,0.518518518518518
2014,"NYN","New York Mets",162,629,618,79,83,0.487654320987654
2014,"OAK","Oakland Athletics",162,729,572,88,74,0.54320987654321
2014,"PHI","Philadelphia Phillies",162,619,687,73,89,0.450617283950617
2014,"PIT","Pittsburgh Pirates",162,682,631,88,74,0.54320987654321
2014,"SDN","San Diego Padres",162,535,577,77,85,0.475308641975309
2014,"SEA","Seattle Mariners",162,634,554,87,75,0.537037037037037
2014,"SFN","San Francisco Giants",162,665,614,88,74,0.54320987654321
2014,"SLN","St. Louis Cardinals",162,619,603,90,72,0.555555555555556
2014,"TBA","Tampa Bay Rays",162,612,625,77,85,0.475308641975309
2014,"TEX","Texas Rangers",162,637,773,67,95,0.41358024691358
2014,"TOR","Toronto Blue Jays",162,723,686,83,79,0.512345679012346
2014,"WAS","Washington Nationals",162,686,555,96,66,0.592592592592593
2015,"ARI","Arizona Diamondbacks",162,720,713,79,83,0.487654320987654
2015,"ATL","Atlanta Braves",162,573,760,67,95,0.41358024691358
2015,"BAL","Baltimore Orioles",162,713,693,81,81,0.5
2015,"BOS","Boston Red Sox",162,748,753,78,84,0.481481481481481
2015,"CHA","Chicago White Sox",162,622,701,76,86,0.469135802469136
2015,"CHN","Chicago Cubs",162,689,608,97,65,0.598765432098765
2015,"CIN","Cincinnati Reds",162,640,754,64,98,0.395061728395062
2015,"CLE","Cleveland Indians",161,669,640,81,80,0.503105590062112
2015,"COL","Colorado Rockies",162,737,844,68,94,0.419753086419753
2015,"DET","Detroit Tigers",161,689,803,74,87,0.459627329192547
2015,"HOU","Houston Astros",162,729,618,86,76,0.530864197530864
2015,"KCA","Kansas City Royals",162,724,641,95,67,0.58641975308642
2015,"LAA","Los Angeles Angels of Anaheim",162,661,675,85,77,0.524691358024691
2015,"LAN","Los Angeles Dodgers",162,667,595,92,70,0.567901234567901
2015,"MIA","Miami Marlins",162,613,678,71,91,0.438271604938272
2015,"MIL","Milwaukee Brewers",162,655,737,68,94,0.419753086419753
2015,"MIN","Minnesota Twins",162,696,700,83,79,0.512345679012346
2015,"NYA","New York Yankees",162,764,698,87,75,0.537037037037037
